state,Handgun,Shotgun,Rifle,Automatic Rifle,Semiautomatic Rifle,Unknown
Alabama,61,13,15,2,0,1793
Alaska,42,12,10,2,1,207
Arizona,99,19,18,2,7,962
Arkansas,31,7,9,0,2,725
California,285,53,51,9,41,5192
Colorado,69,11,14,4,4,708
Connecticut,30,9,2,0,0,302
Delaware,11,0,0,0,0,206
District of Columbia,25,11,0,0,0,435
Florida,397,54,53,19,80,3426
Georgia,163,22,30,4,9,2248
Hawaii,9,4,4,0,1,48
Idaho,41,7,18,0,3,111
Illinois,110,8,20,4,2,3275
Indiana,89,13,13,3,3,1496
Iowa,34,11,5,1,2,221
Kansas,35,7,4,9,3,494
Kentucky,101,12,18,1,2,945
Louisiana,128,17,20,10,11,2014
Maine,33,5,4,0,0,72
Maryland,59,13,6,0,4,1618
Massachusetts,44,4,9,1,1,420
Michigan,156,23,30,8,4,1381
Minnesota,69,20,11,0,0,365
Mississippi,27,6,13,0,4,1131
Missouri,172,18,44,3,1,1908
Montana,44,4,11,0,0,98
Nebraska,22,3,8,0,1,191
Nevada,63,9,14,1,3,721
New Hampshire,12,3,2,1,0,72
New Jersey,54,6,7,6,0,1100
New Mexico,46,7,23,3,8,426
New York,232,44,38,4,8,1403
North Carolina,112,25,27,0,7,2073
North Dakota,8,1,6,0,0,54
Ohio,169,30,30,6,3,2292
Oklahoma,85,18,27,5,7,811
Oregon,97,12,16,1,15,331
Pennsylvania,263,34,44,13,12,2069
Rhode Island,6,3,1,0,0,54
South Carolina,88,7,19,1,4,1498
South Dakota,14,10,2,1,5,62
Tennessee,162,36,32,0,14,1623
Texas,479,92,131,23,57,4393
Utah,56,7,18,0,2,217
Vermont,6,0,10,0,0,42
Virginia,69,23,8,2,0,1370
Washington,171,30,53,2,7,633
West Virginia,57,9,9,1,4,261
Wisconsin,81,12,33,0,4,745
Wyoming,9,1,6,0,2,58
